"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"May",-0.022565,-0.038607,0.045419,0.007366,0.067335,-0.02899,0.052992,-0.037178,-0.0232,-0.013477,0.064718,0.013364,-0.03217,0.010315,-0.062671,-0.013747,0.036021,0.023473,-0.042744,-0.066646,-0.084796,-0.012075,0.039437,-0.0306,0.016147,0.002536,-0.036503,0.015103,0.015873,-0.021726,0.000196,0.027078,-0.000974,-0.007942,-0.064029,0.051032,0.049086,-0.007156,0.025056,0.029609,0.063707,-0.045808,0.004214,0.037479,-0.049829,0.029898,-0.030812,-0.01321,-0.055305,0.042645,-0.008201,0.00235,0.057732,-0.012913,0.02386,-0.037172,0.028436,-0.01912,-0.045358,0.090213,-0.005292,-0.027616,-0.019558,-0.047422,-0.015583,-0.074917,-0.038876,0.030136,-0.035043,0.025113,0.016153,-0.006653,0.048363,-0.007519,-0.017334,0.028828,0.066025,-0.025835,-0.046334,-0.044038,0.047417,0.022534,0.015392,-0.016293,0.027924,-0.023441,-0.006797,0.003674,0.021606,-0.005429,-0.042725,0.036829,0.003792,0.009201,-0.091672,-0.024616,0.029362,-0.012745,-0.039903,-0.021367
"Merchant",0.002272,-0.019242,0.031149,-0.004914,0.043592,-0.009854,0.026539,-0.018682,-0.013712,-0.015933,0.019357,0.019419,-0.011064,0.005742,-0.03793,-0.010032,0.028872,0.016677,-0.034329,-0.031112,-0.057033,-0.010046,0.021428,-0.019198,0.009952,-0.009611,-0.028296,0.018347,0.021039,-0.010373,0.000128,0.00696,-0.016565,-0.019466,-0.035269,0.027068,0.017833,-0.00308,0.02791,0.025561,0.027311,-0.020454,0.01175,0.028275,-0.025325,0.020176,-0.024457,-0.001003,-0.022287,0.031149,-0.010769,0.010768,0.04434,-0.007391,0.020635,-0.001998,0.02223,-0.019908,-0.033358,0.054428,-0.013404,-0.021115,-0.004577,-0.016772,-0.033075,-0.041002,-0.019876,0.021344,-0.031781,0.001471,0.01195,-0.007744,0.023556,-0.011167,-0.017963,0.026504,0.042257,-0.003466,-0.029645,-0.017158,0.038598,0.003958,0.000992,0.003124,0.015857,-0.021075,-0.013887,-0.012575,0.004907,0.001193,-0.031113,0.020906,0.002889,0.020303,-0.039764,-0.01109,0.023248,-0.000195,-0.024195,-0.026712
"36",-0.008435,-0.006884,0.037969,0.007383,0.009072,-0.021045,0.026985,-0.046428,-0.011374,-0.00299,0.024782,0.028376,-0.034713,0.04275,-0.046933,0.017355,0.009487,0.020013,-0.022013,-0.031384,-0.039861,-0.002627,0.014918,-0.02084,-0.011237,0.016036,-0.032268,0.000744,0.006534,-0.042613,-0.021648,0.006403,-0.012212,0.028848,0.005159,0.020237,0.007353,-0.01916,0.016,0.00864,0.064471,-0.019207,0.042804,0.020144,-0.034919,0.03037,-0.036737,-0.008779,-0.00717,0.015013,-0.012815,0.024331,0.033531,-0.000167,-0.002841,0.000947,0.022617,-0.032438,-0.042889,0.104967,-0.02603,-0.026166,-0.007368,-0.011293,-0.056402,-0.098393,-0.023588,-0.005952,-0.021589,-0.002213,-0.001147,-0.008329,0.031268,-0.006272,-0.002733,0.035005,0.051599,-0.024988,-0.056114,-0.029052,0.015452,0.012406,0.035881,-0.020168,0.006681,-0.00402,-0.025798,-0.031509,0.033646,-0.027614,-0.002271,0.066001,0.021059,0.018993,-0.074463,0.022772,0.06994,-0.007037,-0.038707,-0.028984
"est",-0.009035,-0.010753,0.045899,0.021359,-0.026222,-0.007915,0.004971,-0.047764,-0.021432,-0.026408,0.015517,0.029015,-0.036528,0.070877,-0.054252,0.032021,-0.004041,0.024493,-0.003696,-0.027878,-0.040711,0.001874,0.012824,-0.040806,-0.037845,0.019267,-0.045242,-0.003891,0.002203,-0.083189,-0.044873,0.006727,-0.023791,0.058705,0.039081,0.028553,-0.021651,-0.0378,0.024649,-0.006617,0.0997,-0.01888,0.073186,0.01135,-0.0548,0.04971,-0.059024,-0.018634,0.017495,0.011407,-0.014089,0.056791,0.040855,0.007553,-0.023726,0.016957,0.052147,-0.061662,-0.059113,0.167997,-0.046366,-0.053398,0.000553,-0.032244,-0.122421,-0.159999,-0.007903,-0.033806,-0.01141,-0.000736,-0.032126,-0.021703,0.003216,-0.02357,0.008795,0.062387,0.070936,-0.051158,-0.082992,-0.054038,0.00262,0.000207,0.082745,-0.027134,-0.012601,0.016564,-0.033677,-0.048815,0.052095,-0.048788,-0.006898,0.126991,0.037798,0.023803,-0.113835,0.050514,0.136219,0.006649,-0.055722,-0.036401
"justice",-0.012845,-0.031926,0.045304,0.003903,0.047372,-0.023772,0.042247,-0.036393,-0.012601,-0.010012,0.042192,0.018475,-0.024571,0.014225,-0.047211,-0.011467,0.030476,0.017539,-0.033296,-0.046416,-0.058059,-0.011864,0.0312,-0.017917,0.016426,-0.000299,-0.025447,0.010164,0.015059,-0.021132,-0.003639,0.01365,-0.004621,-0.010387,-0.044634,0.036139,0.02601,-0.008267,0.017209,0.02366,0.044262,-0.027106,0.0066,0.028974,-0.027277,0.023766,-0.025677,-0.009706,-0.032943,0.033697,-0.007064,0.000306,0.04106,-0.013992,0.025517,-0.01936,0.026194,-0.017293,-0.037175,0.063231,-0.003388,-0.020154,-0.009449,-0.03053,-0.019079,-0.054078,-0.032674,0.017922,-0.036257,0.006367,0.020948,-0.0068,0.042474,-0.003387,-0.012666,0.027687,0.049881,-0.011258,-0.041706,-0.025345,0.033034,0.014724,0.00528,-0.007174,0.02391,-0.020226,-0.006932,-0.011485,0.007626,-0.002186,-0.026552,0.01817,0.00335,0.011442,-0.061702,-0.021402,0.023848,-0.008677,-0.024443,-0.015744
"Case",-0.015806,-0.031114,0.032469,0.008849,0.061996,-0.035024,0.043909,-0.032741,-0.023167,-0.019001,0.049747,0.0152,-0.023027,0.015519,-0.053999,-0.016579,0.02796,0.01968,-0.03237,-0.040479,-0.065157,-0.010688,0.02722,-0.025564,0.02309,-0.016958,-0.030489,0.010768,0.014965,-0.025918,-0.005988,0.034691,0.002063,-0.016234,-0.04594,0.050751,0.009813,0.00144,0.029386,0.004827,0.042566,-0.031749,0.017675,0.022974,-0.016501,0.020504,-0.02302,-0.009856,-0.037139,0.036692,-0.020133,0.003606,0.042039,-0.011754,0.023787,-0.023053,0.025572,-0.03022,-0.028903,0.041938,-0.001958,-0.032154,-0.019723,-0.034216,-0.016461,-0.054299,-0.034446,0.011178,-0.026656,0.011061,0.015932,-0.018771,0.01972,-0.008401,-0.012052,0.038645,0.052536,-0.011841,-0.031948,-0.018268,0.036084,0.012398,-0.004094,0.007422,0.006431,-0.016726,0.002067,-0.011221,0.008573,0.005659,-0.03446,0.025915,0.00474,0.004379,-0.052162,-0.023455,0.022963,0.00889,-0.023103,-0.001083
"obliged",-0.024061,-0.037361,0.046483,0.011827,0.063619,-0.018538,0.039141,-0.034741,-0.001555,0.001453,0.051113,0.011767,-0.037882,0.008888,-0.051763,-0.014441,0.026129,0.006116,-0.032655,-0.048274,-0.074179,-0.004414,0.033999,-0.024043,0.004648,0.00822,-0.016274,0.003008,0.007817,-0.011505,0.010701,0.024751,0.012247,0.003554,-0.066981,0.039259,0.054752,-0.014054,0.009102,0.024192,0.057488,-0.045717,-0.007793,0.028903,-0.055873,0.0182,-0.018497,-0.008358,-0.04606,0.044974,-0.011815,-0.002783,0.042586,-0.013847,0.028246,-0.035351,0.008972,-0.002347,-0.026297,0.065405,0.002874,-0.011315,-0.012649,-0.038872,-0.006671,-0.034942,-0.019694,0.031612,-0.026888,0.024457,0.003468,0.006807,0.053657,-0.001855,-0.017106,0.006174,0.040167,-0.021138,-0.033981,-0.051957,0.043633,0.020384,0.009134,-0.031946,0.025507,-0.01393,-0.002633,0.007729,0.01513,-0.005559,-0.030632,0.031052,-0.013442,0.007878,-0.069388,-0.029862,0.007219,-0.008768,-0.031426,-0.014546
"Europe",-0.019803,-0.028901,0.053786,0.012606,0.058099,-0.033289,0.046353,-0.048599,-0.013344,-0.014252,0.051598,0.018735,-0.035668,0.025726,-0.057862,-0.010009,0.031803,0.024782,-0.038846,-0.050313,-0.070816,-0.011071,0.028579,-0.025211,0.008592,0.004001,-0.038717,0.010175,0.007846,-0.031574,-0.006548,0.01726,-0.000845,-0.001457,-0.048208,0.046298,0.036151,-0.013285,0.02612,0.023038,0.063802,-0.04055,0.018234,0.028994,-0.042521,0.032011,-0.031899,-0.010797,-0.040854,0.035446,-0.011077,0.010696,0.050791,-0.007237,0.025488,-0.024011,0.028956,-0.0292,-0.042454,0.086103,-0.011978,-0.023481,-0.010485,-0.034376,-0.028274,-0.074545,-0.040134,0.015088,-0.031728,0.015831,0.016038,-0.004018,0.043321,-0.008867,-0.010388,0.034472,0.055836,-0.017397,-0.045391,-0.037003,0.040277,0.01762,0.012388,-0.017297,0.022079,-0.017593,-0.008425,-0.014237,0.016436,-0.009806,-0.025939,0.04291,0.001792,0.008395,-0.074085,-0.012596,0.037396,-0.005716,-0.033931,-0.023321
"answered",-0.016026,-0.014624,0.030091,0.010229,0.011713,-0.003286,0.013003,-0.017215,-0.002528,-0.015398,0.015315,0.01417,-0.02292,0.016747,-0.026589,0.003169,0.008474,0.001657,-0.017192,-0.018984,-0.036638,-0.004326,0.009446,-0.025814,-0.008247,0.009799,-0.010304,0.007819,0.0084,-0.020645,-0.005125,0.007395,-0.001412,0.014388,-0.014253,0.015438,0.018707,-0.022652,0.014878,0.015615,0.048231,-0.025174,0.015776,0.014508,-0.032883,0.024726,-0.025414,-0.001731,-0.009823,0.015179,-0.011193,0.015141,0.030336,-0.002232,0.005096,-0.008087,0.020515,-0.018329,-0.02569,0.074491,-0.014476,-0.019926,-0.008242,-0.026182,-0.038281,-0.053246,-0.003928,0.01184,-0.009068,0.008162,-0.001721,0.003352,0.022007,-0.012282,-0.005615,0.014954,0.028889,-0.029364,-0.034412,-0.038227,0.017721,0.015178,0.024718,-0.013828,0.005221,0.000431,-0.011502,-0.011208,0.026609,-0.017236,-0.016503,0.044209,-0.000396,0.016324,-0.062816,0.00804,0.046044,-0.00469,-0.025952,-0.023031
"Army",-0.003769,-0.015912,0.035034,-0.007118,0.018178,-0.014108,0.024268,-0.020923,0.005409,-0.008065,0.017018,0.019136,-0.019899,0.013612,-0.039246,0.003414,0.022784,0.005096,-0.031669,-0.036519,-0.047968,-0.003847,0.012709,-0.012556,0.008245,0.007818,-0.016824,0.019272,0.009322,-0.002797,-0.005646,-0.006488,-0.016791,0.004758,-0.024598,0.028472,0.02272,-0.010306,0.010394,0.030335,0.026176,-0.023847,0.008374,0.023862,-0.035962,0.015961,-0.026395,-0.004899,-0.016896,0.019589,-0.007038,0.010952,0.033461,-0.005663,0.006865,-0.007363,0.023346,-0.011648,-0.035005,0.065492,-0.013824,-0.01318,-0.004651,-0.003208,-0.032676,-0.040855,-0.013313,0.022748,-0.019566,0.003204,0.018046,0.005382,0.031709,-0.010074,-0.016864,0.015965,0.034856,-0.016706,-0.033188,-0.025875,0.035583,0.022697,0.00365,-0.019055,0.014455,-0.011357,-0.019637,-0.016103,0.017583,-0.014985,-0.018214,0.02541,0.00206,0.017173,-0.056262,0.006326,0.0217,-0.006071,-0.028071,-0.027162
"human",-0.013386,-0.035395,0.046947,0.00509,0.058144,-0.02305,0.044091,-0.024008,-0.012671,-0.006502,0.047352,0.004124,-0.029629,0.004833,-0.04419,-0.017249,0.026885,0.019437,-0.031238,-0.042626,-0.061112,-0.015555,0.02688,-0.027987,0.014724,-0.005379,-0.017925,0.012557,0.004266,-0.008676,0.00492,0.029305,0.005138,-0.001359,-0.056821,0.041993,0.037489,-0.001994,0.021816,0.021879,0.049715,-0.030062,-0.004097,0.020378,-0.03518,0.029345,-0.019082,-0.002649,-0.03231,0.038219,-0.001694,0.003038,0.045241,-0.019537,0.025126,-0.028434,0.023212,-0.016621,-0.0283,0.0611,-0.008343,-0.022288,-0.009984,-0.046679,-0.018729,-0.046907,-0.029101,0.016897,-0.032071,0.01919,0.009769,-0.003831,0.044242,-0.002832,-0.013699,0.021737,0.046388,-0.026196,-0.04145,-0.038167,0.038119,0.026415,0.001438,-0.015227,0.021488,-0.013608,0.002976,0.007881,0.013847,0.006303,-0.035799,0.02054,0.004667,0.007918,-0.057213,-0.029512,0.007968,-0.013146,-0.030116,-0.012781
"Reading",-0.013278,-0.03395,0.03836,0.00698,0.044875,-0.010005,0.037591,-0.023093,-0.005379,-0.000578,0.042881,0.004819,-0.031867,0.00962,-0.033231,-0.012259,0.024638,0.007375,-0.033807,-0.046931,-0.054445,-0.007944,0.029662,-0.02678,0.002537,0.007602,-0.016429,0.001796,0.00451,-0.006326,0.006861,0.014395,0.006999,0.006699,-0.052987,0.034992,0.050712,-0.010453,0.008937,0.023891,0.042824,-0.039402,-0.009724,0.020845,-0.042869,0.018026,-0.021832,-0.005917,-0.040489,0.036896,0.000586,-0.004038,0.035175,-0.010694,0.023578,-0.024115,0.009994,-0.000171,-0.032288,0.065963,-0.001532,-0.009454,-0.010375,-0.030821,-0.008933,-0.040487,-0.020601,0.023423,-0.021399,0.022634,0.001248,0.011677,0.045963,0.001907,-0.010189,0.015953,0.035924,-0.018974,-0.036839,-0.043302,0.033878,0.025023,0.009845,-0.031301,0.02551,-0.008686,-0.008331,0.008718,0.018919,-0.00759,-0.025679,0.02553,0.000301,0.007937,-0.063811,-0.020863,0.009442,-0.013765,-0.024977,-0.018909
"For",-0.000545,-0.02507,0.050051,-0.002186,0.045078,-0.018138,0.040249,-0.031102,-0.003629,-0.01334,0.037788,0.013429,-0.031032,0.019113,-0.054858,-0.011555,0.027373,0.023647,-0.042505,-0.048015,-0.069495,-0.013374,0.025769,-0.013383,0.015445,0.007275,-0.026098,0.018402,0.019469,-0.012793,-0.005862,0.004434,-0.013313,-0.004589,-0.050159,0.042547,0.037274,0.000231,0.022901,0.033282,0.044231,-0.02783,0.003327,0.032568,-0.041462,0.020532,-0.02976,-0.011684,-0.029118,0.027869,-0.004758,0.002657,0.043664,-0.004705,0.017154,-0.021406,0.022037,-0.024044,-0.047403,0.072983,-0.014549,-0.014475,-0.011434,-0.019089,-0.025002,-0.052686,-0.033386,0.028081,-0.033864,0.014741,0.02216,0.002142,0.04446,-0.002341,-0.021898,0.02486,0.045383,-0.017493,-0.046386,-0.030593,0.038905,0.023822,0.009991,-0.019547,0.021612,-0.020619,-0.017853,-0.000831,0.017152,-0.008986,-0.028886,0.029619,0.002364,0.022506,-0.065903,-0.015459,0.019221,-0.006784,-0.035989,-0.022435
"Grass",0.010179,0.006711,0.025349,-0.003107,-0.016829,-0.024154,0.018709,-0.03356,-0.014499,-0.008375,0.002971,0.025969,-0.016365,0.045032,-0.031496,0.024576,0.001796,0.021049,-0.015217,-0.017124,-0.024423,-0.001949,0.007587,-0.00718,-0.002746,0.003284,-0.038739,0.008581,0.006667,-0.031601,-0.022413,-0.010087,-0.027559,0.018745,0.028088,0.010071,-0.02551,-0.004403,0.015209,0.005324,0.039445,0.00985,0.04093,0.010882,-0.015765,0.026268,-0.032564,-0.008237,0.007543,-0.001681,-1.7e-05,0.023694,0.023285,-0.001368,-0.003327,0.020286,0.032447,-0.036376,-0.04242,0.083975,-0.033639,-0.020284,0.000445,0.011411,-0.055759,-0.078462,-0.024869,-0.013809,-0.013087,-0.008481,0.004607,-0.014235,0.007363,-0.006429,0.007951,0.039244,0.037754,-0.017877,-0.040878,-0.007309,-0.000331,-0.000634,0.02521,-0.004175,0.001795,-0.001156,-0.02266,-0.034287,0.020589,-0.027946,-0.001359,0.051137,0.023616,0.018228,-0.04199,0.03971,0.071374,-0.001223,-0.019511,-0.027358
"send",-0.009284,-0.049416,0.057166,-0.009032,0.082987,-0.028371,0.058146,-0.041306,-0.00809,-0.007995,0.059342,0.014361,-0.030523,0.002546,-0.069634,-0.014559,0.042888,0.024095,-0.057384,-0.067555,-0.084964,-0.023283,0.036946,-0.024649,0.022642,0.00017,-0.025383,0.02716,0.024349,-0.000872,0.004089,0.017207,-0.00555,-0.016197,-0.078899,0.053956,0.059025,0.005031,0.022733,0.046628,0.042047,-0.043513,-0.005389,0.043731,-0.04833,0.01865,-0.026456,-0.006968,-0.050304,0.043386,-0.009596,-0.004533,0.057722,-0.015471,0.03687,-0.03443,0.026419,-0.017308,-0.046578,0.06396,-0.003341,-0.011667,-0.016745,-0.029815,-0.009064,-0.042535,-0.035518,0.037251,-0.040891,0.018233,0.032857,0.000511,0.063236,0.002897,-0.028381,0.018061,0.048604,-0.015506,-0.037763,-0.032288,0.054588,0.028228,-0.002727,-0.014154,0.034923,-0.031,-0.012879,0.007577,0.007466,-0.007517,-0.047658,0.015171,-0.008156,0.016954,-0.072903,-0.029559,0.005153,-0.017476,-0.036234,-0.023002
"Times",-0.008072,-0.023818,0.034632,0.002991,0.04181,-0.014888,0.036518,-0.018205,-0.001159,-0.00165,0.035857,0.005365,-0.020974,0.001367,-0.039875,-0.01845,0.027233,0.007288,-0.032247,-0.035661,-0.059279,-0.0092,0.017721,-0.02322,0.013745,-0.000759,-0.015762,0.01856,0.013737,-0.002108,0.006133,0.008502,-0.003005,-0.00492,-0.053663,0.030783,0.043577,-0.003977,0.020562,0.026962,0.027967,-0.030873,-0.004071,0.027848,-0.031747,0.009329,-0.012525,-0.0019,-0.026858,0.029448,-0.008229,0.005833,0.035931,-0.010778,0.017302,-0.021768,0.019327,-0.005991,-0.020569,0.046831,-0.00439,-0.011754,-0.004601,-0.024828,-0.008484,-0.030108,-0.018073,0.032354,-0.023727,0.014462,0.009403,0.005491,0.038879,-0.006656,-0.020412,0.012878,0.036681,-0.014816,-0.026464,-0.025076,0.037992,0.020961,-0.004247,-0.012797,0.024677,-0.019162,-0.013644,-0.006024,0.009126,-0.000254,-0.026664,0.016539,-0.010442,0.003316,-0.062012,-0.0167,0.012052,-0.010111,-0.026614,-0.023567
"neither",-0.010157,-0.036749,0.053185,0.005766,0.059787,-0.013853,0.040362,-0.032687,-0.011053,-0.005406,0.049004,0.008431,-0.031459,0.001152,-0.051753,-0.019591,0.030451,0.002819,-0.047305,-0.059321,-0.076388,-0.014679,0.038501,-0.029703,0.020211,0.014933,-0.019348,0.022486,0.009785,-0.005049,0.012755,0.010971,-0.002415,-0.008395,-0.07478,0.044712,0.059726,-0.009409,0.023686,0.046324,0.04841,-0.048055,-0.011015,0.037778,-0.052888,0.023638,-0.016018,-0.004198,-0.036232,0.045683,-0.003805,0.006596,0.053071,-0.011357,0.030503,-0.025523,0.019418,-0.010937,-0.040001,0.082322,-0.007799,-0.01198,-0.011938,-0.035179,-0.009843,-0.051893,-0.022005,0.042185,-0.040555,0.017444,0.025842,0.011432,0.060028,0.002292,-0.022073,0.013059,0.049109,-0.018776,-0.04664,-0.048646,0.057102,0.028887,0.000998,-0.030725,0.033909,-0.019498,-0.019593,-0.000502,0.015249,-0.011723,-0.036152,0.017272,-0.006946,0.014443,-0.090425,-0.022269,0.015107,-0.024483,-0.039661,-0.029616
"Day.",0.003865,-0.019355,0.047005,-0.012862,0.033892,-0.022992,0.035936,-0.032625,-0.002359,-0.016203,0.02606,0.016148,-0.020076,0.017281,-0.050642,-0.004911,0.020146,0.010767,-0.034629,-0.035892,-0.06547,-0.004843,0.01533,-0.017359,0.009599,-0.004808,-0.028874,0.024556,0.017161,-0.014641,-0.001395,-0.00047,-0.01533,-0.005885,-0.031241,0.036134,0.014475,-0.007849,0.028228,0.030683,0.034414,-0.021811,0.017252,0.026594,-0.033412,0.020966,-0.025397,-0.001661,-0.018409,0.021086,-0.016344,0.009691,0.048234,-0.00831,0.017825,-0.007492,0.024691,-0.02563,-0.033679,0.059299,-0.012338,-0.02248,-0.005871,-0.003711,-0.032101,-0.044585,-0.023589,0.023107,-0.026882,0.000675,0.022628,-0.004964,0.035163,-0.016577,-0.012731,0.021363,0.038442,-0.009202,-0.033195,-0.019697,0.026722,0.020277,-0.00302,-0.009184,0.014537,-0.010609,-0.010857,-0.012307,0.012142,-0.008832,-0.019591,0.02297,0.005451,0.017341,-0.051499,0.002856,0.022437,-0.000212,-0.02911,-0.023641
"ill",-0.013275,-0.019787,0.030222,0.001155,0.028187,-0.014908,0.024722,-0.02463,-0.002528,-0.013344,0.016766,0.020551,-0.019341,0.01637,-0.045054,0.004009,0.012858,0.009088,-0.03568,-0.035412,-0.050837,-0.009861,0.018136,-0.01926,0.003355,0.006362,-0.019611,0.007295,0.0168,-0.017489,-0.008634,0.005159,-0.005824,0.007928,-0.025322,0.020999,0.02069,-0.015616,0.014065,0.021777,0.043585,-0.031766,0.015366,0.026447,-0.02821,0.017626,-0.020558,-0.001402,-0.017753,0.028574,-0.00915,0.015817,0.035846,-0.000493,0.014898,-0.006629,0.024623,-0.024348,-0.031245,0.070992,-0.014961,-0.014145,-0.005016,-0.011004,-0.031609,-0.059129,-0.021894,0.015188,-0.024739,-0.00154,0.011995,-0.00992,0.034907,-0.012145,-0.017989,0.025285,0.034683,-0.0146,-0.034681,-0.032346,0.024106,0.017748,0.013088,-0.016806,0.010616,-0.01116,-0.024275,-0.015191,0.015503,-0.014999,-0.014301,0.027525,0.007173,0.02176,-0.060088,0.001412,0.029469,-0.008658,-0.031002,-0.03115
"lately",-0.010271,-0.015625,0.028864,-0.00349,0.037219,-0.013722,0.032886,-0.030568,-0.008927,-0.009293,0.017601,0.015265,-0.022711,0.020487,-0.038917,-4e-04,0.019017,0.0121,-0.030428,-0.036829,-0.047995,-0.001073,0.016104,-0.016965,0.009359,-0.001979,-0.022183,0.011497,0.011446,-0.018846,-0.005719,0.000202,-0.007386,0.00113,-0.022621,0.027578,0.016102,-0.011685,0.022027,0.020149,0.041771,-0.022031,0.022044,0.027856,-0.028588,0.017156,-0.020412,-0.000218,-0.021695,0.020406,-0.010218,0.009808,0.034935,-0.005914,0.012782,-0.008162,0.024069,-0.024983,-0.028192,0.056855,-0.015892,-0.015505,-0.005098,-0.009543,-0.030867,-0.053335,-0.027905,0.01082,-0.025912,0.003129,0.016627,-0.009643,0.026868,-0.015117,-0.012526,0.020661,0.034307,-0.01042,-0.026757,-0.024707,0.02669,0.006997,0.004521,-0.00229,0.007158,-0.009135,-0.013661,-0.01716,0.009493,-0.000941,-0.017542,0.030917,-0.001319,0.015212,-0.04808,-0.005489,0.030799,0.003521,-0.023761,-0.027487
"Spanish",-0.02283,-0.029616,0.04226,0.010223,0.057037,-0.025162,0.052463,-0.045001,-0.020182,-0.009133,0.048928,0.023257,-0.034182,0.026305,-0.063613,-0.006036,0.025826,0.022871,-0.039613,-0.051356,-0.068219,-0.011263,0.032144,-0.020521,0.011434,0.007839,-0.034415,0.003345,0.014328,-0.028943,-0.010902,0.023374,-0.005934,0.004446,-0.044541,0.047416,0.0383,-0.01084,0.0213,0.019722,0.065983,-0.040971,0.020445,0.02985,-0.046995,0.031792,-0.033989,-0.007255,-0.039394,0.036282,-0.009478,0.005807,0.048191,-0.011247,0.019612,-0.024787,0.016839,-0.023737,-0.044746,0.086509,-0.00834,-0.02561,-0.010398,-0.028047,-0.028553,-0.074243,-0.032388,0.019075,-0.037991,0.007785,0.012955,-0.007647,0.046724,-0.007271,-0.007598,0.034087,0.060651,-0.024845,-0.045338,-0.034759,0.029319,0.015152,0.020868,-0.018774,0.022305,-0.016292,-0.012303,-0.009985,0.020429,-0.013341,-0.02667,0.044691,0.005995,0.010954,-0.075484,-0.014825,0.036842,-0.00615,-0.042451,-0.018752
"21",-0.005085,-0.015302,0.043983,-0.001487,0.02136,-0.021949,0.029664,-0.027904,-0.012,-0.001887,0.027331,0.020593,-0.026618,0.02764,-0.04619,0.002587,0.019575,0.019988,-0.032586,-0.03793,-0.056745,-0.017912,0.018521,-0.019061,0.007567,0.007707,-0.028719,0.014017,0.015496,-0.027806,-0.007822,0.005254,-0.012218,0.007987,-0.020607,0.029511,0.021569,-0.009983,0.01731,0.01747,0.048582,-0.019631,0.01766,0.020713,-0.032412,0.022843,-0.029091,-0.011756,-0.011343,0.017234,-0.006283,0.01841,0.043962,-0.008978,0.010463,-0.007556,0.033998,-0.024154,-0.039769,0.090528,-0.024158,-0.019283,-0.00106,-0.015179,-0.039967,-0.071766,-0.026877,0.012852,-0.02283,0.000508,0.012649,-0.004042,0.037643,-0.008915,-0.006432,0.032859,0.050747,-0.023167,-0.049082,-0.026066,0.023148,0.016417,0.01359,-0.020439,0.025094,-0.016797,-0.027633,-0.023025,0.019556,-0.019958,-0.027919,0.035412,0.017553,0.021637,-0.069543,0.011481,0.048365,-0.016446,-0.035486,-0.030931
"often",-0.023219,-0.046574,0.059938,0.011038,0.062838,0.004571,0.039682,-0.020136,0.003102,-0.004586,0.051317,0.011626,-0.030798,-0.004415,-0.044718,-0.032321,0.027258,-0.004839,-0.041786,-0.047227,-0.078154,-0.014253,0.030543,-0.035035,0.010967,0.013715,-0.005293,0.028634,0.004664,0.012286,0.018373,0.017055,0.013134,-0.004922,-0.085536,0.044126,0.082395,-0.014439,0.02042,0.050142,0.045539,-0.046798,-0.028852,0.032837,-0.060939,0.026685,-0.016653,-0.007357,-0.040796,0.045,-0.004122,-0.007757,0.059545,-0.016005,0.041168,-0.034579,0.018567,0.012284,-0.037474,0.069639,-0.00892,-0.010545,-0.010597,-0.041316,-0.010984,-0.033218,-0.011467,0.045818,-0.026889,0.02234,0.013977,0.019186,0.076882,0.012536,-0.027694,0.003103,0.048145,-0.030833,-0.045047,-0.06391,0.061853,0.038749,0.001299,-0.042201,0.042678,-0.015631,-0.015979,0.008908,0.011662,-0.006041,-0.038927,0.020822,-0.009221,0.019676,-0.09223,-0.030793,0.008539,-0.033107,-0.041401,-0.034033
"clear",-0.011503,-0.023721,0.02362,0.009673,0.030997,-0.008369,0.02706,-0.017951,-0.008888,-0.000309,0.025436,0.012993,-0.01843,0.01672,-0.025662,-0.004065,0.018047,0.007835,-0.023583,-0.025849,-0.04002,-0.004374,0.013242,-0.017249,0.002996,1.8e-05,-0.017024,0.008449,0.00082,-0.010272,-0.00438,0.013978,-0.000481,0.003602,-0.021706,0.018029,0.024275,-0.004554,0.011633,0.008825,0.033147,-0.01893,0.006283,0.012692,-0.030285,0.020712,-0.017332,-0.00479,-0.016369,0.020411,-0.007575,0.005795,0.025171,-0.007068,0.011968,-0.01406,0.009722,-0.005446,-0.025843,0.046056,-0.011667,-0.010662,-0.001359,-0.020829,-0.011716,-0.036234,-0.018032,0.016641,-0.016904,0.005079,0.003424,0.000967,0.0265,-0.00128,-0.000189,0.012174,0.032776,-0.012706,-0.030727,-0.018829,0.014061,0.01495,0.012673,-0.01269,0.01731,-0.002581,-0.005332,0.000296,0.011935,-0.00921,-0.017357,0.019839,1.5e-05,0.006951,-0.035052,-0.007785,0.015622,-0.005756,-0.021416,-0.008477
